OBJECT_TYPE,MCO_SHEET,KEY_COLUMN
CUSTOMER,Customers,OKCUNO
CUSTOMER,Customer Addresses,OPCUNO
ITEM,Item Master,MMITNO
ITEM,Item Warehouse,MBITNO
SUPPLIER,Suppliers,IDSUNO
ITEM,Item Facility,M9ITNO
PRODUCT HEADER,Product Header,
PRODUCT HEADER FEATURE,Product Header Features,
PRODUCT MATERIALS,Product Materials,
PRODUCT OPERATIONS,Product Operations,
